ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
4391,F,Road,6,5,286,4,low,F,31,3774
4392,F,Ship,4,3,274,3,medium,F,8,4276
4393,F,Ship,5,5,135,2,low,F,1,4324
4394,F,Ship,2,4,224,2,low,M,8,4754
4395,F,Road,4,4,256,3,low,M,8,4398
4396,A,Ship,3,2,138,3,low,M,49,1923
4397,C,Ship,4,5,148,3,medium,F,5,5216
4398,D,Flight,3,4,271,3,medium,M,1,4444
4399,B,Road,4,3,149,4,medium,M,1,4678
4400,D,Flight,5,2,263,6,low,F,6,1511
4401,B,Road,4,2,222,3,low,M,4,5919
4402,A,Ship,3,1,110,4,medium,F,6,5474
4403,F,Flight,5,1,262,3,medium,M,9,5146
4404,A,Ship,3,5,166,3,high,F,31,1117
4405,F,Ship,6,3,277,4,medium,M,6,1623
4406,A,Road,5,1,260,5,low,F,3,1705
4407,B,Flight,5,3,206,2,medium,M,7,4531
4408,F,Ship,4,3,212,3,low,F,1,4518
4409,D,Ship,4,1,264,3,low,F,39,3719
4410,B,Ship,3,3,162,2,medium,M,5,1202
4411,F,Ship,4,1,178,8,medium,F,6,4872
4412,D,Ship,3,4,206,3,high,M,5,4022
4413,C,Ship,6,1,251,4,low,M,2,1679
4414,F,Ship,4,5,227,2,low,M,7,4414
4415,C,Flight,5,5,171,3,medium,F,6,4209
4416,B,Road,3,5,264,6,low,M,30,2751
4417,D,Ship,5,3,250,2,low,F,14,2064
4418,F,Flight,3,4,118,4,low,M,6,5964
4419,A,Ship,3,1,187,3,medium,M,2,5154
4420,F,Flight,3,2,209,2,medium,M,6,5095
4421,F,Flight,2,5,216,2,medium,F,57,3807
4422,F,Road,4,4,183,2,low,F,7,4572
4423,C,Road,7,5,283,5,low,M,8,1578
4424,A,Ship,3,3,168,3,medium,M,11,1008
4425,D,Ship,3,4,182,3,medium,F,2,5281
4426,C,Ship,7,4,261,5,low,M,6,1334
4427,F,Ship,3,3,177,3,medium,M,10,5374
4428,A,Ship,2,1,174,3,medium,F,12,1358
4429,C,Ship,4,2,229,3,low,F,6,5691
4430,B,Ship,4,5,154,3,medium,F,9,5489
4431,D,Ship,6,1,244,4,low,M,5,1867
4432,F,Road,4,2,167,4,low,F,20,1705
4433,C,Road,4,1,226,3,low,F,28,2211
4434,C,Road,3,2,122,4,low,F,9,5299
4435,A,Ship,3,2,259,6,medium,M,1,5873
4436,D,Ship,3,1,165,3,high,F,10,4208
4437,B,Road,2,3,242,2,medium,F,1,5892
4438,F,Ship,5,3,250,3,medium,M,4,4343
4439,F,Ship,5,1,137,3,medium,F,10,4641
4440,B,Ship,6,3,308,5,medium,F,4,1118
4441,B,Ship,3,2,221,3,high,F,7,5477
4442,F,Ship,5,1,178,2,low,F,5,4369
4443,A,Ship,4,1,173,2,low,M,5,4688
4444,A,Ship,7,3,278,4,low,F,8,1909
4445,F,Ship,3,4,134,3,low,F,9,4436
4446,D,Ship,4,5,221,3,medium,F,3,4430
4447,A,Road,4,5,244,3,medium,M,3,5857
4448,C,Ship,5,4,223,3,low,M,7,4671
4449,D,Ship,4,5,239,5,low,M,6,1336
4450,F,Ship,3,4,213,3,high,F,4,5996
4451,F,Ship,3,1,160,3,low,M,57,1833
4452,A,Ship,3,3,137,4,low,M,6,4803
4453,F,Flight,4,3,243,2,low,F,6,5892
4454,F,Ship,3,4,238,3,medium,F,8,5337
4455,A,Ship,3,1,169,3,low,F,6,4081
4456,D,Ship,3,2,177,4,low,F,3,5527
4457,B,Ship,3,2,198,4,medium,F,4,4564
4458,B,Ship,5,1,263,6,low,F,3,1665
4459,F,Ship,5,3,227,5,medium,F,9,4990
4460,F,Flight,5,5,132,3,low,M,3,4263
4461,F,Ship,5,2,244,6,low,M,5,1702
4462,F,Ship,5,2,151,4,low,M,12,1145
4463,A,Ship,5,4,260,5,low,F,2,1178
4464,B,Ship,5,2,160,4,medium,M,43,1479
4465,A,Ship,6,1,247,4,low,F,4,1623
4466,C,Ship,5,5,172,2,low,M,5,5791
4467,B,Flight,5,1,270,2,high,M,10,5360
4468,C,Flight,2,2,184,3,medium,F,46,2484
4469,A,Ship,4,3,260,4,medium,M,40,3668
4470,F,Ship,5,2,239,5,medium,M,24,2472
4471,F,Ship,3,1,207,3,medium,F,56,3482
4472,F,Ship,4,3,213,3,medium,M,4,4367
4473,D,Ship,4,5,258,2,medium,M,6,5062
4474,F,Ship,4,1,132,3,low,M,63,1901
4475,A,Ship,3,1,165,2,low,M,6,4445
4476,C,Road,4,1,273,4,low,F,54,2611
4477,A,Ship,2,5,139,3,low,F,27,1233
4478,C,Ship,4,5,234,5,low,F,2,1087
4479,F,Flight,4,1,253,3,low,M,36,2591
4480,B,Ship,6,4,299,4,low,F,9,1817
4481,F,Flight,3,1,129,3,medium,M,9,5296
4482,D,Ship,4,2,214,3,low,F,18,2574
4483,B,Ship,4,1,113,3,low,F,60,1200
4484,F,Flight,4,2,266,5,medium,M,3,4578
4485,F,Ship,4,1,240,4,medium,M,7,4818
4486,C,Ship,3,1,183,3,low,M,19,3018
4487,F,Ship,3,4,177,4,medium,F,3,1148
4488,A,Ship,3,4,178,2,low,F,35,1183
4489,F,Ship,3,4,209,3,medium,M,2,4976
4490,D,Road,6,3,235,3,low,F,7,4829
4491,C,Ship,4,5,231,3,low,M,4,5089
4492,A,Ship,3,5,249,2,low,F,26,2029
4493,B,Ship,4,1,134,2,medium,F,7,5967
4494,C,Ship,4,5,231,4,medium,M,9,5528
4495,B,Ship,5,5,149,3,medium,M,9,5979
4496,B,Flight,5,3,232,5,low,F,1,1835
4497,C,Ship,3,2,149,3,medium,F,64,1920
4498,D,Ship,3,4,268,2,medium,F,4,1442
4499,F,Ship,3,3,179,3,low,F,9,4459
4500,C,Ship,3,4,221,3,low,M,10,4927
4501,F,Ship,2,1,252,2,low,M,35,2526
4502,F,Ship,4,3,163,3,low,M,52,1891
4503,C,Ship,3,4,171,3,low,F,5,5872
4504,F,Ship,3,2,140,2,low,F,16,1685
4505,A,Ship,3,1,171,2,medium,F,6,5704
4506,F,Flight,5,4,143,2,low,F,8,5291
4507,B,Flight,5,5,169,4,low,F,2,4188
4508,F,Ship,3,5,142,2,low,F,8,4914
4509,F,Ship,5,3,266,3,low,M,4,4969
4510,B,Ship,4,3,218,2,medium,M,6,4414
4511,A,Road,5,2,221,6,medium,M,2,1781
4512,D,Flight,3,5,198,3,medium,F,1,3667
4513,C,Ship,5,1,227,2,low,M,15,3798
4514,A,Ship,5,5,135,4,low,M,8,5029
4515,D,Ship,3,2,189,2,low,M,6,4488
4516,D,Ship,2,2,161,5,medium,M,3,4138
4517,A,Ship,4,5,208,2,low,F,4,5831
4518,A,Flight,6,3,233,6,low,F,9,4814
4519,F,Road,3,2,180,2,high,M,10,4024
4520,F,Ship,4,4,134,3,low,F,14,1716
4521,C,Ship,6,4,291,4,low,F,5,1112
4522,A,Road,5,5,232,4,low,M,3,5447
4523,D,Road,3,2,229,3,low,M,2,4447
4524,D,Road,6,2,251,4,medium,F,9,1322
4525,A,Ship,5,2,226,5,medium,M,5,1659
4526,F,Flight,5,1,198,2,medium,F,37,3025
4527,C,Ship,3,3,160,3,low,M,1,4769
4528,A,Ship,3,5,271,4,low,F,10,1679
4529,A,Ship,4,4,243,3,low,M,10,3327
4530,B,Flight,5,4,147,6,medium,F,21,1145
4531,B,Road,4,4,259,5,low,F,5,1065
4532,F,Ship,4,3,195,2,low,M,8,4576
4533,F,Ship,2,2,158,3,medium,F,2,4153
4534,D,Road,5,2,168,2,low,F,10,5225
4535,A,Ship,3,3,262,2,low,F,10,5951
4536,F,Ship,5,3,202,2,low,F,6,5716
4537,C,Ship,5,5,265,3,low,M,6,4423
4538,D,Ship,2,3,188,2,high,M,25,2033
4539,D,Ship,3,5,191,4,low,M,4,4008
4540,D,Ship,4,2,261,2,medium,F,4,5926
4541,A,Ship,4,5,198,7,medium,M,9,4249
4542,F,Flight,5,2,165,3,medium,F,10,5598
4543,B,Ship,3,4,138,6,medium,M,5,1853
4544,C,Ship,5,3,179,3,low,F,3,4131
4545,F,Ship,3,4,180,3,low,F,52,1727
4546,A,Ship,3,1,212,3,medium,M,10,5759
4547,B,Ship,6,4,288,4,medium,F,9,1575
4548,B,Ship,4,4,266,3,low,M,3,5531
4549,F,Ship,4,1,152,3,high,M,26,1464
4550,B,Ship,3,4,178,8,medium,F,6,4146
4551,B,Flight,5,5,133,3,low,M,63,1218
4552,F,Ship,3,2,153,4,high,M,7,4750
4553,F,Ship,5,2,229,3,low,M,1,5189
4554,F,Ship,6,2,285,4,medium,M,6,1016
4555,D,Ship,3,3,219,6,low,M,10,1116
4556,B,Ship,5,5,257,4,medium,M,31,2040
4557,D,Flight,5,3,221,5,low,F,2,1630
4558,A,Ship,5,1,201,3,medium,F,65,2488
4559,D,Ship,4,3,172,3,medium,F,10,5434
4560,A,Road,4,1,242,3,high,M,47,3489
4561,C,Road,7,1,282,4,low,F,2,1566
4562,C,Road,4,4,141,3,low,M,10,4289
4563,C,Ship,5,1,250,4,medium,M,10,5306
4564,A,Ship,4,1,253,3,low,M,31,3632
4565,A,Ship,3,3,262,7,high,F,9,5097
4566,C,Flight,6,3,276,4,low,M,6,1670
4567,B,Ship,3,3,193,3,medium,F,29,3453
4568,F,Road,4,1,178,3,medium,F,63,1573
4569,C,Ship,4,2,191,3,high,M,3,2353
4570,F,Ship,3,1,202,2,medium,F,7,4506
4571,C,Ship,3,1,164,3,medium,F,9,1803
4572,D,Flight,7,1,280,5,low,M,10,1199
4573,F,Ship,4,5,254,3,low,M,1,4377
4574,C,Road,6,3,260,4,low,M,4,1358
4575,A,Flight,3,5,161,3,low,F,4,5629
4576,A,Ship,5,4,265,2,low,F,2,5164
4577,D,Road,3,2,250,3,medium,F,4,5361
4578,D,Road,5,1,180,3,low,F,2,5013
4579,F,Ship,3,3,225,2,medium,M,55,2259
4580,A,Ship,3,4,98,2,low,F,32,1539
4581,C,Ship,3,1,212,2,medium,M,7,5022
4582,D,Ship,4,1,211,7,high,M,4,4476
4583,F,Ship,3,4,165,4,medium,F,7,1627
4584,D,Road,3,3,227,3,medium,M,3,5644
4585,B,Ship,4,5,270,3,medium,F,2,5272
4586,F,Ship,4,3,232,3,medium,F,8,5298
4587,F,Ship,5,5,167,8,low,M,44,1547
4588,F,Ship,6,3,262,4,low,F,5,1563
4589,F,Road,4,2,202,3,low,M,9,4955
4590,F,Ship,4,4,246,3,low,M,2,5473
4591,A,Ship,4,5,149,6,medium,M,40,1974
4592,B,Ship,3,2,139,3,medium,M,4,5531
4593,F,Ship,4,4,272,2,low,M,7,4042
4594,F,Road,4,1,198,4,medium,F,9,5382
4595,F,Ship,4,4,275,5,medium,M,5,1117
4596,A,Ship,4,3,225,5,medium,M,3,1224
4597,F,Flight,3,4,191,3,medium,F,10,4667
4598,D,Ship,3,4,272,8,high,F,10,4070
4599,D,Ship,4,1,242,6,low,M,8,1419
4600,B,Ship,6,4,291,4,low,F,5,1327
4601,B,Ship,5,4,244,3,medium,F,3,4015
4602,F,Flight,4,5,208,3,medium,M,23,2056
4603,B,Ship,3,3,250,3,medium,M,9,2752
4604,A,Road,3,5,209,2,low,M,33,2603
4605,A,Road,3,5,156,4,low,F,6,1015
4606,C,Ship,6,5,204,3,medium,M,7,4119
4607,F,Ship,4,2,141,2,medium,M,52,1012
4608,A,Ship,2,1,202,2,medium,F,5,4456
4609,D,Flight,4,5,219,2,medium,F,21,3830
4610,C,Ship,3,4,209,2,high,M,10,4540
4611,A,Ship,3,4,241,2,low,M,57,3671
4612,D,Ship,6,2,267,4,medium,F,1,1935
4613,C,Ship,6,3,252,2,low,M,1,1756
4614,B,Ship,3,5,270,3,low,M,60,3885
4615,F,Flight,4,2,270,5,low,F,5,1747
4616,D,Ship,3,3,160,4,medium,F,7,5147
4617,A,Ship,3,2,222,4,medium,M,10,5720
4618,B,Flight,3,3,150,2,medium,M,3,5836
4619,F,Ship,4,5,243,4,medium,F,41,2782
4620,B,Ship,4,1,276,5,low,F,2,1246
4621,C,Ship,5,3,243,2,low,F,9,4828
4622,B,Ship,4,1,233,6,medium,F,2,5406
4623,C,Ship,3,5,178,3,low,F,39,1498
4624,D,Ship,5,3,241,3,low,F,2,5587
4625,F,Road,4,4,197,3,medium,F,41,3280
4626,C,Ship,3,4,164,3,high,F,55,1293
4627,D,Flight,3,1,180,3,low,F,29,1414
4628,C,Ship,3,1,238,2,low,M,9,5158
4629,F,Ship,5,1,185,2,medium,F,10,5973
4630,B,Ship,4,2,223,3,medium,F,56,3158
4631,B,Ship,4,5,243,3,low,M,9,5263
4632,F,Ship,5,3,185,3,low,M,25,2503
4633,F,Flight,4,4,209,6,low,F,7,4852
4634,C,Flight,4,5,221,3,low,F,6,5895
4635,C,Ship,2,3,154,3,medium,M,3,4478
4636,C,Ship,3,5,132,2,low,M,10,4462
4637,C,Ship,5,5,240,2,low,F,7,4409
4638,F,Flight,3,1,164,2,low,F,39,1532
4639,D,Ship,6,1,254,4,low,F,2,1071
4640,F,Flight,5,2,257,4,medium,M,9,5088
4641,A,Road,4,4,251,2,low,M,2,4800
4642,D,Ship,5,1,285,4,medium,F,10,1428
4643,B,Ship,4,4,207,10,low,F,1,4602
4644,A,Ship,4,2,210,3,medium,F,10,5354
4645,C,Flight,5,4,217,2,medium,M,4,4380
4646,A,Flight,3,2,141,3,low,M,7,1933
4647,B,Ship,3,3,186,3,medium,M,49,2356
4648,D,Road,4,3,179,3,low,F,3,5495
4649,A,Flight,2,2,242,6,low,F,63,3144
4650,F,Ship,4,4,207,3,medium,F,1,4019
4651,A,Ship,4,5,142,2,medium,F,7,4594
4652,B,Ship,5,4,255,4,medium,F,38,2771
4653,A,Road,4,4,206,3,low,M,2,5572
4654,F,Road,4,5,194,2,low,F,1,5300
4655,D,Flight,7,5,269,4,medium,M,2,1592
4656,F,Ship,5,4,211,3,low,M,9,4908
4657,C,Flight,4,3,219,5,low,F,8,1702
4658,F,Ship,4,5,170,2,low,F,57,1533
4659,F,Ship,4,5,171,3,low,F,10,4752
4660,D,Ship,4,1,261,4,low,F,58,3427
4661,F,Ship,3,1,263,3,low,M,25,3689
4662,F,Flight,5,4,228,4,high,F,7,5913
4663,C,Ship,4,3,158,2,low,M,46,1374
4664,F,Ship,3,4,211,3,low,F,6,5890
4665,B,Ship,4,2,259,6,medium,M,8,1096
4666,B,Ship,3,2,245,3,medium,M,13,3775
4667,F,Road,3,5,151,2,medium,M,8,4408
4668,C,Ship,4,3,160,2,low,M,9,5940
4669,F,Ship,4,2,190,2,medium,F,6,3595
4670,F,Ship,3,1,183,2,low,M,58,3027
4671,A,Ship,4,1,146,8,low,M,7,4576
4672,F,Ship,4,4,176,4,high,F,63,1293
4673,A,Ship,4,2,137,2,medium,F,2,5804
4674,C,Ship,5,1,179,2,low,M,8,5198
4675,B,Ship,4,2,242,6,medium,F,10,5655
4676,A,Ship,2,4,245,2,medium,F,10,5389
4677,F,Ship,2,1,285,5,low,M,4,5759
4678,C,Ship,6,1,260,3,low,F,4,1338
4679,A,Ship,6,1,117,7,medium,F,4,4211
4680,F,Flight,3,3,161,3,low,F,24,1920
4681,D,Ship,6,2,269,4,low,M,6,1073
4682,D,Ship,4,1,258,3,low,F,10,4906
4683,B,Ship,4,3,153,3,medium,M,2,1095
4684,F,Ship,4,3,233,5,low,M,4,1668
4685,C,Road,4,4,248,4,low,F,49,2322
4686,F,Ship,4,4,273,2,low,M,9,5151
4687,A,Ship,4,5,196,3,low,F,4,5610
4688,B,Flight,3,5,257,2,low,M,2,5251
4689,D,Ship,4,3,141,4,medium,F,38,1599
4690,B,Road,5,3,267,3,medium,F,8,5786
4691,A,Flight,3,1,105,3,low,M,58,1304
4692,F,Ship,3,2,160,3,low,F,4,4683
4693,C,Ship,3,4,154,2,high,F,2,4998
4694,F,Ship,5,3,223,5,medium,M,4,1817
4695,F,Ship,5,2,226,3,medium,M,6,4700
4696,F,Flight,4,3,148,5,medium,F,6,4802
4697,F,Road,4,4,258,3,high,M,2,5420
4698,F,Road,4,3,240,5,medium,F,5,1301
4699,C,Road,3,2,272,2,low,M,33,2321
4700,F,Ship,5,5,256,5,medium,M,2,1693
4701,F,Road,6,5,167,3,low,F,2,5761
4702,C,Ship,5,5,198,3,low,F,5,4754
4703,A,Road,3,2,237,2,high,M,26,3103
4704,B,Ship,5,3,223,2,medium,F,9,5735
4705,A,Ship,4,5,202,3,medium,M,8,5416
4706,D,Ship,4,5,162,3,medium,F,10,4850
4707,C,Road,3,1,182,3,low,M,2,5760
4708,D,Ship,2,2,240,5,low,M,7,4138
4709,B,Flight,3,3,205,2,medium,M,6,4989
4710,B,Road,3,2,286,6,high,F,1,5035
4711,F,Ship,5,1,234,5,medium,F,9,1932
4712,B,Ship,3,2,123,4,low,F,10,5891
4713,A,Ship,2,3,129,3,low,M,50,1111
4714,B,Ship,4,1,192,4,high,M,5,4142
4715,B,Ship,5,1,234,3,medium,M,40,3340
4716,F,Ship,4,2,170,2,low,M,3,4299
4717,F,Road,4,2,104,7,medium,F,46,1438
4718,A,Road,3,4,202,3,medium,M,28,3707
4719,F,Ship,3,1,183,2,medium,F,10,4598
4720,D,Ship,3,2,146,4,low,M,13,1790
4721,F,Ship,6,2,247,4,low,F,3,1752
4722,F,Ship,2,3,151,4,low,F,3,1353
4723,F,Flight,5,2,231,4,medium,M,41,2992
4724,C,Ship,4,5,240,5,medium,M,8,4314
4725,C,Ship,3,3,241,2,high,M,2,4836
4726,D,Ship,3,4,248,3,medium,M,7,5299
4727,B,Road,5,4,169,2,low,F,20,1765
4728,D,Ship,4,1,184,7,medium,F,6,4956
4729,C,Ship,5,3,266,5,medium,F,2,1510
4730,B,Ship,3,1,171,3,medium,M,28,1075
4731,B,Ship,5,4,250,4,low,M,2,4183
4732,C,Ship,6,3,294,4,low,M,52,1667
4733,A,Flight,5,5,175,6,medium,F,2,4995
4734,F,Flight,4,3,248,2,medium,F,2,4700
4735,D,Flight,3,2,181,3,medium,M,45,3786
4736,F,Ship,4,1,186,4,medium,F,57,3880
4737,F,Flight,4,4,173,3,medium,F,64,1847
4738,D,Ship,3,4,201,3,low,F,6,5722
4739,C,Ship,4,5,192,2,medium,F,36,2497
4740,C,Ship,4,5,243,2,low,M,19,2829
4741,B,Flight,2,5,193,5,medium,F,13,2882
4742,A,Ship,6,5,298,4,medium,F,5,1804
4743,F,Ship,4,2,175,3,medium,M,7,4874
4744,A,Ship,4,1,251,4,medium,F,33,2906
4745,C,Flight,4,1,234,2,medium,F,4,5164
4746,A,Ship,5,1,163,3,medium,F,1,5194
4747,F,Ship,5,4,133,3,low,M,9,1051
4748,A,Ship,4,2,270,4,low,F,46,1736
4749,F,Ship,4,3,212,2,low,M,8,5513
4750,B,Road,4,2,187,3,high,F,5,4897
4751,C,Road,5,4,228,5,low,M,5,1844
4752,D,Ship,6,4,310,4,medium,M,1,1494
4753,D,Ship,3,5,190,10,medium,M,26,3244
4754,A,Ship,3,4,242,10,high,M,5,4127
4755,A,Ship,6,4,286,4,medium,F,1,1570
4756,C,Road,4,4,245,4,medium,F,6,5051
4757,A,Ship,3,5,206,3,medium,M,21,3746
4758,F,Flight,4,3,163,2,low,F,12,1092
4759,F,Ship,3,1,183,3,medium,M,7,5849
4760,F,Road,4,2,150,4,low,F,1,5922
4761,A,Ship,3,1,144,2,medium,M,8,5378
4762,D,Ship,4,1,234,3,low,F,8,4996
4763,C,Ship,4,5,228,2,low,F,4,4783
4764,B,Ship,6,2,245,4,low,F,9,1594
4765,F,Ship,5,4,271,2,medium,F,6,4801
4766,F,Ship,7,1,307,4,low,M,2,1983
4767,A,Ship,2,1,181,5,medium,M,3,1038
4768,D,Ship,4,1,177,4,low,F,13,1569
4769,F,Road,4,4,153,2,low,F,8,4248
4770,F,Ship,2,1,166,3,medium,M,6,4280
4771,C,Road,4,3,163,3,low,F,45,1395
4772,A,Flight,4,2,238,2,medium,F,9,4937
4773,F,Ship,5,4,201,3,low,F,5,5137
4774,B,Ship,3,5,219,3,low,F,54,3145
4775,F,Flight,5,4,245,5,low,M,6,3592
4776,D,Flight,3,3,203,3,medium,F,3,4196
4777,A,Ship,3,5,237,3,low,M,55,2451
4778,C,Ship,3,4,162,4,medium,M,10,4235
4779,C,Road,6,5,148,4,low,M,1,5216
4780,C,Ship,3,5,169,2,low,F,20,1021
4781,F,Ship,5,3,242,5,medium,F,5,1820
4782,A,Road,5,2,135,2,medium,M,4,5405
4783,F,Flight,3,3,160,2,medium,F,32,1718
4784,F,Ship,4,2,255,3,low,F,8,5865
4785,A,Flight,4,5,167,2,low,F,10,5067
4786,F,Ship,4,4,151,2,low,F,38,1001
4787,D,Road,4,3,178,2,medium,F,9,4322
4788,B,Ship,6,2,274,4,medium,M,8,1626
4789,A,Ship,4,4,251,4,low,F,10,5984
4790,C,Ship,7,5,278,4,low,F,5,1126
4791,D,Ship,6,2,257,4,low,F,4,1929
4792,C,Flight,3,1,185,2,medium,F,9,4316
4793,A,Flight,5,2,162,4,medium,M,7,5477
4794,F,Ship,4,3,205,3,medium,F,44,2291
4795,F,Ship,3,5,159,3,low,M,46,1857
4796,F,Ship,4,2,242,6,low,F,10,1531
4797,A,Ship,3,5,267,2,high,M,2,5062
4798,B,Ship,3,5,166,3,medium,F,9,5275
4799,C,Ship,3,1,193,10,high,F,1,4459
4800,A,Ship,4,4,200,2,low,M,5,5783
4801,C,Ship,3,5,199,2,low,M,46,2728
4802,F,Flight,4,2,220,2,medium,M,5,5864
4803,B,Ship,7,1,244,5,medium,F,3,1418
4804,C,Ship,2,2,150,2,medium,F,9,4917
4805,D,Ship,3,2,164,4,medium,M,2,1701
4806,F,Ship,4,3,225,5,low,F,10,1310
4807,F,Ship,4,4,173,5,medium,F,2,1175
4808,A,Ship,6,1,250,4,low,M,10,1623
4809,C,Ship,5,1,236,3,medium,F,10,1347
4810,B,Ship,4,1,218,5,low,F,5,1238
4811,A,Ship,6,2,305,4,low,M,8,1015
4812,F,Ship,4,3,130,3,medium,F,3,4317
4813,F,Ship,6,3,248,4,low,F,6,1997
4814,A,Road,5,1,247,10,medium,F,57,2377
4815,D,Ship,3,4,240,3,medium,M,8,4410
4816,D,Ship,6,4,244,4,medium,F,1,1179
4817,F,Flight,3,1,153,2,medium,F,51,1841
4818,F,Ship,3,1,269,8,medium,F,4,4290
4819,D,Ship,4,2,221,2,low,F,13,3097
4820,F,Ship,3,1,249,2,medium,M,9,5987
4821,F,Ship,4,2,194,8,medium,M,10,5995
4822,D,Ship,3,4,244,8,low,M,1,2703
4823,C,Ship,5,2,244,2,medium,F,4,4992
4824,D,Ship,4,4,187,3,high,M,6,4567
4825,C,Road,5,4,177,2,medium,F,45,1664
4826,D,Ship,6,5,263,4,low,M,10,1669
4827,F,Ship,3,4,229,6,medium,F,33,2815
4828,A,Ship,5,3,266,3,medium,F,4,4195
4829,B,Ship,4,5,248,3,low,M,7,5853
4830,D,Ship,4,3,167,3,high,F,4,6000
4831,F,Ship,4,5,185,3,medium,M,17,2824
4832,C,Ship,3,4,267,3,high,F,2,5204
4833,F,Ship,6,5,273,5,medium,M,10,5756
4834,F,Ship,4,2,247,5,medium,F,17,3630
4835,A,Ship,5,3,222,3,low,F,6,4744
4836,C,Road,3,4,269,2,medium,M,6,5951
4837,F,Ship,3,2,135,3,low,M,27,1898
4838,B,Ship,5,3,167,3,low,F,5,1772
4839,F,Ship,4,3,258,3,medium,F,7,4887
4840,F,Ship,4,5,158,4,low,F,4,1595
4841,C,Ship,3,4,250,2,medium,M,1,4922
4842,C,Ship,5,1,259,3,high,F,37,3023
4843,C,Ship,7,4,290,4,low,F,10,1886
4844,F,Flight,6,4,221,5,medium,M,8,4511
4845,D,Ship,6,1,268,4,medium,M,10,1958
4846,C,Ship,6,3,202,3,low,F,5,4930
4847,D,Ship,2,4,114,5,high,F,5,5334
4848,F,Road,4,3,152,4,medium,F,4,5809
4849,B,Ship,6,2,168,2,low,M,3,5853
4850,C,Ship,5,3,157,4,low,M,1,1306
4851,D,Ship,3,1,136,2,medium,F,61,1509
4852,C,Ship,4,4,155,2,medium,F,9,4932
4853,A,Ship,5,3,231,3,medium,F,2,4735
4854,A,Road,4,5,168,4,medium,M,5,5735
4855,B,Ship,5,1,160,4,medium,M,5,5841
4856,F,Ship,2,5,186,2,low,M,17,3896
4857,B,Flight,4,4,223,5,medium,M,4,1344
4858,F,Road,3,4,144,3,low,M,50,1865
4859,D,Ship,6,2,256,4,low,F,6,1507
4860,F,Ship,3,3,253,2,low,M,5,4112
4861,A,Ship,4,2,272,2,low,F,1,5939
4862,D,Flight,6,1,249,4,medium,M,2,1189
4863,D,Flight,3,3,203,3,medium,M,29,3261
4864,B,Road,3,2,243,2,low,F,5,4769
4865,F,Road,5,2,222,5,low,F,1,1672
4866,B,Ship,5,1,271,2,high,M,46,2744
4867,A,Road,4,1,166,2,low,F,6,5737
4868,F,Road,3,2,257,3,medium,M,2,5486
4869,F,Flight,4,4,224,5,low,F,9,4902
4870,F,Road,5,4,262,6,low,M,3,1700
4871,F,Ship,5,3,236,4,medium,M,7,4308
4872,F,Flight,3,3,179,2,low,F,62,1765
4873,A,Flight,6,2,196,2,low,M,10,5180
4874,F,Ship,3,2,264,3,medium,F,43,3439
4875,B,Ship,4,3,224,3,medium,F,6,5054
4876,C,Flight,3,5,121,3,low,F,10,1701
4877,C,Ship,6,3,266,4,medium,M,8,1983
4878,C,Flight,5,4,180,2,low,M,52,1122
4879,D,Road,2,3,128,2,medium,F,53,1530
4880,B,Ship,7,3,286,4,low,F,5,1866
4881,C,Road,3,2,272,3,low,M,2,4459
4882,B,Ship,4,2,211,3,low,M,4,5989
4883,F,Ship,6,4,244,4,low,M,1,1130
4884,A,Ship,2,2,135,3,low,M,58,1734
4885,F,Ship,3,1,206,3,medium,M,28,2892
4886,A,Ship,3,3,228,2,low,M,5,4470
4887,D,Road,6,3,264,4,medium,F,3,1498
4888,F,Road,4,2,277,5,medium,F,8,1335
4889,F,Ship,3,3,233,3,medium,M,35,2204
4890,D,Flight,4,2,153,2,medium,F,4,4069
4891,F,Flight,3,5,220,4,low,M,2,4313
4892,C,Ship,3,4,245,3,medium,F,7,5429
4893,F,Ship,3,3,217,4,medium,F,3,5602
4894,D,Flight,4,4,160,3,medium,M,5,4440
4895,B,Road,4,2,274,5,low,F,8,1246
4896,A,Flight,4,3,238,2,medium,F,2,5328
4897,F,Ship,2,3,235,3,low,M,57,2034
4898,A,Flight,6,4,249,5,medium,M,43,3078
4899,C,Flight,3,3,123,5,medium,F,5,4292
4900,D,Ship,5,3,197,2,low,F,12,3400
4901,F,Ship,5,4,240,4,medium,M,7,4552
4902,F,Ship,5,5,245,5,low,M,5,1381
4903,F,Ship,3,3,170,3,low,F,7,5427
4904,C,Flight,6,5,305,4,medium,M,10,1418
4905,D,Ship,4,2,183,3,low,M,5,3716
4906,F,Ship,5,3,253,5,low,M,6,1028
4907,F,Ship,4,5,157,3,medium,M,2,5791
4908,A,Ship,4,5,171,4,medium,F,4,4151
4909,F,Flight,4,1,167,3,low,F,57,1782
4910,D,Ship,3,3,166,2,medium,M,4,4254
4911,F,Flight,5,3,225,5,low,F,6,1082
4912,B,Ship,2,1,255,3,low,M,19,1551
4913,D,Flight,4,4,156,2,medium,F,7,5938
4914,C,Ship,3,1,212,6,low,M,5,5339
4915,B,Road,4,2,189,2,medium,M,5,4374
4916,B,Flight,3,1,167,3,low,M,1,1252
4917,F,Road,4,1,152,2,high,M,2,5396
4918,D,Ship,4,3,180,4,low,M,14,1686
4919,B,Road,4,5,164,3,high,M,7,4657
